"Date","Monthly average yield from British Government Securities, 10 year Nominal Par Yield              [a] [b] [c]             IUMAMNPY"
"31 May 25","4.6004"
"30 Apr 25","4.5762"
"31 Mar 25","4.6448"
"28 Feb 25","4.5063"
"31 Jan 25","4.6627"
"31 Dec 24","4.4345"
"30 Nov 24","4.4164"
"31 Oct 24","4.1993"
"30 Sep 24","3.9053"
"31 Aug 24","3.9444"
"31 Jul 24","4.1386"
"30 Jun 24","4.1644"
"31 May 24","4.2229"
"30 Apr 24","4.2172"
"31 Mar 24","4.033"
"29 Feb 24","4.123"
"31 Jan 24","3.9319"
"31 Dec 23","3.8622"
"30 Nov 23","4.2721"
"31 Oct 23","4.5695"
"30 Sep 23","4.4199"
"31 Aug 23","4.5298"
"31 Jul 23","4.4372"
"30 Jun 23","4.3659"
"31 May 23","3.9621"
"30 Apr 23","3.6503"
"31 Mar 23","3.5638"
"28 Feb 23","3.5553"
"31 Jan 23","3.5115"
"31 Dec 22","3.5015"
"30 Nov 22","3.4171"
"31 Oct 22","4.1096"
"30 Sep 22","3.5007"
"31 Aug 22","2.3278"
"31 Jul 22","2.1454"
"30 Jun 22","2.3824"
"31 May 22","1.9069"
"30 Apr 22","1.8362"
"31 Mar 22","1.5457"
"28 Feb 22","1.4891"
"31 Jan 22","1.2051"
"31 Dec 21","0.8375"
"30 Nov 21","0.9394"
"31 Oct 21","1.083"
"30 Sep 21","0.8023"
"31 Aug 21","0.644"
"31 Jul 21","0.6979"
"30 Jun 21","0.8549"
"31 May 21","0.9058"
"30 Apr 21","0.8515"
"31 Mar 21","0.8456"
"28 Feb 21","0.6222"
"31 Jan 21","0.3672"
"31 Dec 20","0.3224"
"30 Nov 20","0.3836"
"31 Oct 20","0.3058"
"30 Sep 20","0.273"
"31 Aug 20","0.2717"
"31 Jul 20","0.2094"
"30 Jun 20","0.278"
"31 May 20","0.2743"
"30 Apr 20","0.3577"
"31 Mar 20","0.4609"
"29 Feb 20","0.633"
"31 Jan 20","0.7235"
"31 Dec 19","0.8308"
"30 Nov 19","0.765"
"31 Oct 19","0.6373"
"30 Sep 19","0.5981"
"31 Aug 19","0.5776"
"31 Jul 19","0.8304"
"30 Jun 19","0.919"
"31 May 19","1.13"
"30 Apr 19","1.1906"
"31 Mar 19","1.19"
"28 Feb 19","1.239"
"31 Jan 19","1.3221"
"31 Dec 18","1.3125"
"30 Nov 18","1.4541"
"31 Oct 18","1.5462"
"30 Sep 18","1.5023"
"31 Aug 18","1.3991"
"31 Jul 18","1.3739"
"30 Jun 18","1.4229"
"31 May 18","1.5016"
"30 Apr 18","1.5108"
"31 Mar 18","1.508"
"28 Feb 18","1.6034"
"31 Jan 18","1.3931"
"31 Dec 17","1.2781"
"30 Nov 17","1.3299"
"31 Oct 17","1.3816"
"30 Sep 17","1.2436"
"31 Aug 17","1.1241"
"31 Jul 17","1.2713"
"30 Jun 17","1.0846"
"31 May 17","1.1175"
"30 Apr 17","1.0789"
"31 Mar 17","1.194"
"28 Feb 17","1.3058"
"31 Jan 17","1.4203"
"31 Dec 16","1.4336"
"30 Nov 16","1.3818"
"31 Oct 16","1.078"
"30 Sep 16","0.8243"
"31 Aug 16","0.7421"
"31 Jul 16","0.9569"
"30 Jun 16","1.3105"
"31 May 16","1.5366"
"30 Apr 16","1.5688"
"31 Mar 16","1.5434"
"29 Feb 16","1.5032"
"31 Jan 16","1.7833"
"31 Dec 15","1.9234"
"30 Nov 15","1.9779"
"31 Oct 15","1.846"
"30 Sep 15","1.8814"
"31 Aug 15","1.9799"
"31 Jul 15","2.1353"
"30 Jun 15","2.1696"
