"DATE","TIME PERIOD","Long-term interest rate for convergence purposes - 10 years maturity, denominated in Euro - Euro area 20 (fixed composition) as of 1 January 2023 (IRS.M.I9.L.L40.CI.0000.EUR.N.Z)"
"2001-01-31","2001Jan","5.03"
"2001-02-28","2001Feb","5.03"
"2001-03-31","2001Mar","4.94"
"2001-04-30","2001Apr","5.10"
"2001-05-31","2001May","5.29"
"2001-06-30","2001Jun","5.24"
"2001-07-31","2001Jul","5.25"
"2001-08-31","2001Aug","5.06"
"2001-09-30","2001Sep","5.05"
"2001-10-31","2001Oct","4.83"
"2001-11-30","2001Nov","4.68"
"2001-12-31","2001Dec","4.94"
"2002-01-31","2002Jan","5.03"
"2002-02-28","2002Feb","5.08"
"2002-03-31","2002Mar","5.33"
"2002-04-30","2002Apr","5.32"
"2002-05-31","2002May","5.34"
"2002-06-30","2002Jun","5.19"
"2002-07-31","2002Jul","5.04"
"2002-08-31","2002Aug","4.76"
"2002-09-30","2002Sep","4.56"
"2002-10-31","2002Oct","4.64"
"2002-11-30","2002Nov","4.62"
"2002-12-31","2002Dec","4.44"
"2003-01-31","2003Jan","4.27"
"2003-02-28","2003Feb","4.05"
"2003-03-31","2003Mar","4.11"
"2003-04-30","2003Apr","4.24"
"2003-05-31","2003May","3.93"
"2003-06-30","2003Jun","3.74"
"2003-07-31","2003Jul","4.05"
"2003-08-31","2003Aug","4.21"
"2003-09-30","2003Sep","4.24"
"2003-10-31","2003Oct","4.30"
"2003-11-30","2003Nov","4.43"
"2003-12-31","2003Dec","4.37"
"2004-01-31","2004Jan","4.23"
"2004-02-29","2004Feb","4.20"
"2004-03-31","2004Mar","4.02"
"2004-04-30","2004Apr","4.21"
"2004-05-31","2004May","4.36"
"2004-06-30","2004Jun","4.42"
"2004-07-31","2004Jul","4.32"
"2004-08-31","2004Aug","4.16"
"2004-09-30","2004Sep","4.12"
"2004-10-31","2004Oct","4.00"
"2004-11-30","2004Nov","3.88"
"2004-12-31","2004Dec","3.67"
"2005-01-31","2005Jan","3.61"
"2005-02-28","2005Feb","3.60"
"2005-03-31","2005Mar","3.75"
"2005-04-30","2005Apr","3.55"
"2005-05-31","2005May","3.39"
"2005-06-30","2005Jun","3.23"
"2005-07-31","2005Jul","3.29"
"2005-08-31","2005Aug","3.31"
"2005-09-30","2005Sep","3.15"
"2005-10-31","2005Oct","3.31"
"2005-11-30","2005Nov","3.51"
"2005-12-31","2005Dec","3.41"
"2006-01-31","2006Jan","3.39"
"2006-02-28","2006Feb","3.54"
"2006-03-31","2006Mar","3.72"
"2006-04-30","2006Apr","3.98"
"2006-05-31","2006May","4.05"
"2006-06-30","2006Jun","4.06"
"2006-07-31","2006Jul","4.10"
"2006-08-31","2006Aug","3.97"
"2006-09-30","2006Sep","3.84"
"2006-10-31","2006Oct","3.88"
"2006-11-30","2006Nov","3.80"
"2006-12-31","2006Dec","3.87"
"2007-01-31","2007Jan","4.11"
"2007-02-28","2007Feb","4.13"
"2007-03-31","2007Mar","4.03"
