date,fii10,gs10,reaintratrearat10y
1990-01-31,,8.21,4.1276234
1990-02-28,,8.47,4.36692739
1990-03-31,,8.59,4.55196762
1990-04-30,,8.79,4.55216196
1990-05-31,,8.76,4.80506176
1990-06-30,,8.48,4.38261115
1990-07-31,,8.47,4.3418185
1990-08-31,,8.75,4.17053207
1990-09-30,,8.89,4.3987447
1990-10-31,,8.72,4.20053902
1990-11-30,,8.39,4.05885498
1990-12-31,,8.08,3.8939207
1991-01-31,,8.09,3.92293115
1991-02-28,,7.85,3.90705382
1991-03-31,,8.11,4.17583618
1991-04-30,,8.04,4.1098331
1991-05-31,,8.07,4.04991631
1991-06-30,,8.28,4.18764426
1991-07-31,,8.27,4.22225375
1991-08-31,,7.9,4.13991739
1991-09-30,,7.65,3.87849555
1991-10-31,,7.53,3.63786206
1991-11-30,,7.42,3.56505772
1991-12-31,,7.09,3.41033346
1992-01-31,,7.03,3.19854245
1992-02-29,,7.34,3.62829159
1992-03-31,,7.54,3.66026498
1992-04-30,,7.48,3.78985987
1992-05-31,,7.39,3.74616997
1992-06-30,,7.26,3.56857666
1992-07-31,,6.84,3.35309944
1992-08-31,,6.59,3.1248226
1992-09-30,,6.42,2.95734236
1992-10-31,,6.59,2.72804375
1992-11-30,,6.87,3.32463334
1992-12-31,,6.77,3.50968543
1993-01-31,,6.6,3.26790846
1993-02-28,,6.26,3.00478524
1993-03-31,,5.98,2.67342493
1993-04-30,,5.97,2.77451693
1993-05-31,,6.04,2.66472062
1993-06-30,,5.96,2.76123734
1993-07-31,,5.81,2.59179878
1993-08-31,,5.68,2.70290307
1993-09-30,,5.36,2.45058069
1993-10-31,,5.33,2.39884319
1993-11-30,,5.72,2.56229533
1993-12-31,,5.77,2.72011647
1994-01-31,,5.75,2.77268493
1994-02-28,,5.97,2.62016875
1994-03-31,,6.48,2.97120305
1994-04-30,,6.97,3.65918278
1994-05-31,,7.18,3.62457709
1994-06-30,,7.1,3.59356552
1994-07-31,,7.3,3.7864194
1994-08-31,,7.24,3.58028405
1994-09-30,,7.46,3.6371045
1994-10-31,,7.74,3.95662307
1994-11-30,,7.96,4.10325275
1994-12-31,,7.81,4.11695307
1995-01-31,,7.78,4.24429022
1995-02-28,,7.47,4.05499673
1995-03-31,,7.2,3.72098557
1995-04-30,,7.06,3.6549273
1995-05-31,,6.63,3.4204808
1995-06-30,,6.17,2.90471287
1995-07-31,,6.28,2.93803016
1995-08-31,,6.49,3.14848844
1995-09-30,,6.2,3.01759856
1995-10-31,,6.04,3.0097294
1995-11-30,,5.93,2.88422441
1995-12-31,,5.71,2.72215346
1996-01-31,,5.65,2.64759197
1996-02-29,,5.81,2.59785872
1996-03-31,,6.27,2.8972936
1996-04-30,,6.51,3.10833442
1996-05-31,,6.74,3.30502587
1996-06-30,,6.91,3.49408029
1996-07-31,,6.87,3.36926055
1996-08-31,,6.64,3.32941538
1996-09-30,,6.83,3.52082209
1996-10-31,,6.53,3.31834947
1996-11-30,,6.2,3.14164675
1996-12-31,,6.3,2.95093511
1997-01-31,,6.58,3.2548678
1997-02-28,,6.42,3.21337489
1997-03-31,,6.69,3.3085558
1997-04-30,,6.89,3.55047337
1997-05-31,,6.71,3.43698117
1997-06-30,,6.49,3.27910832
1997-07-31,,6.22,3.19987642
1997-08-31,,6.3,3.0885119
1997-09-30,,6.21,3.15086952
1997-10-31,,6.03,3.01659074
1997-11-30,,5.88,2.97295683
1997-12-31,,5.81,2.91985104
1998-01-31,,5.54,2.84030163
1998-02-28,,5.57,2.77706891
1998-03-31,,5.65,2.85251196
1998-04-30,,5.64,2.84606553
1998-05-31,,5.65,2.89304228
1998-06-30,,5.5,2.87099745
1998-07-31,,5.46,2.77070571
1998-08-31,,5.34,2.77934018
1998-09-30,,4.81,2.49623921
1998-10-31,,4.53,1.93514547
1998-11-30,,4.83,2.22103048
1998-12-31,,4.65,2.22957981
1999-01-31,,4.72,2.30815245
1999-02-28,,5,2.36759019
1999-03-31,,5.23,2.71035881
1999-04-30,,5.18,2.67778993
1999-05-31,,5.54,2.70423805
1999-06-30,,5.9,3.11656311
1999-07-31,,5.79,3.0055618
1999-08-31,,5.94,3.10154331
1999-09-30,,5.92,3.16946543
1999-10-31,,6.11,3.14292186
1999-11-30,,6.03,3.14725353
1999-12-31,,6.28,3.1922035
2000-01-31,,6.66,3.41105112
2000-02-29,,6.52,3.51334339
2000-03-31,,6.26,3.44034736
2000-04-30,,5.99,3.20296665
2000-05-31,,6.44,3.3605311
2000-06-30,,6.1,3.1278929
2000-07-31,,6.05,3.06235485
2000-08-31,,5.83,3.04561328
2000-09-30,,5.8,2.88599618
2000-10-31,,5.74,2.87662559
2000-11-30,,5.72,2.83313793
2000-12-31,,5.24,2.63921042
2001-01-31,,5.16,2.25143294
2001-02-28,,5.1,2.26701398
2001-03-31,,4.89,2.26729473
2001-04-30,,5.14,2.22098391
2001-05-31,,5.39,2.43341797
2001-06-30,,5.28,2.52645602
2001-07-31,,5.24,2.52836744
2001-08-31,,4.97,2.33436142
2001-09-30,,4.73,2.17776797
2001-10-31,,4.57,1.98693245
2001-11-30,,4.65,1.81476553
2001-12-31,,5.09,2.0405763
2002-01-31,,5.04,2.52349996
2002-02-28,,4.91,2.40007343
2002-03-31,,5.28,2.42129018
2002-04-30,,5.21,2.70112632
2002-05-31,,5.16,2.35054993
2002-06-30,,4.93,2.31986391
2002-07-31,,4.65,2.14192855
2002-08-31,,4.26,1.74226259
2002-09-30,,3.87,1.44610825
2002-10-31,,3.94,1.26869564
2002-11-30,,4.05,1.39558681
2002-12-31,,4.03,1.69225366
2003-01-31,2.29,4.05,1.48820174
2003-02-28,1.99,3.9,1.466379
2003-03-31,1.94,3.81,1.22359095
2003-04-30,2.18,3.96,1.30961847
2003-05-31,1.91,3.57,1.37072098
2003-06-30,1.72,3.33,0.90511574
2003-07-31,2.11,3.98,1.12868896
2003-08-31,2.32,4.45,1.75170446
2003-09-30,2.19,4.27,1.89723825
