Date,rstar,g,z,output gap,real rate gap,,,All results are output from the Stage 3 model.,,,,,,,,,,,,,,,Standard Errors,Date,y*,r*,g,,,rstar (smoothed),g (smoothed),z (smoothed),output gap (smoothed)
1961-01-01,5.07156923659668,4.77418364431902,0.00203378915240422,-3.71888429190551,-3.63952934311696,,,Parameter Point Estimates,,,,,,,,,,,,,,,,1961-01-01,1.51614747579952,1.41296938957243,0.533605657853131,,,4.39699522945379,4.19356915811971,-0.056006389722369,-3.37377041270531
1961-04-01,5.28790911721527,4.97265414823692,0.00762491567118519,-3.40716802267218,-3.79533405480709,,,a_1,a_2,a_3,b_1,b_2,b_3,b_4,b_5,c,sigma_1,sigma_2,sigma_4,phi,kappa2020Q2-Q4,kappa2021,kappa2022,1961-04-01,1.55049871691356,1.40291268816332,0.522726930297428,,,4.38218349613356,4.1857946486251,-0.0625626485142265,-2.90121303633794
1961-07-01,5.26753171856917,4.95142826830068,0.00978652238319994,-2.70127902605998,-3.8160454520271,,,1.37549458638117,-0.43108977506379,-0.0788947552463989,0.584774470236426,0.364180137889901,0.0421034756797748,0.00257422018021848,0.0390793079151898,1.06186435737065,0.451965711643637,0.757636031111571,0.497960277493527,-0.096078814318824,7.99951290582635,1.66733376356416,1.2729078465481,1961-07-01,1.57973246090948,1.39332969936908,0.512845130921185,,,4.3635616426432,4.17521658596047,-0.0699520342909905,-2.15468088343266
1961-10-01,5.2661389020759,4.95223466277881,0.00753742433562739,-2.01333902985641,-3.68536525026742,,,T Statistics,,,,,,,,,,,,,,,,1961-10-01,1.60218815827956,1.38430683273598,0.503705987692543,,,4.34223050747084,4.16231785504973,-0.0775864668539139,-1.37443830151528
1962-01-01,5.12801932760704,4.82082842374327,0.00895345143473333,-1.23135324928148,-3.60179716408922,,,12.7100680944875,3.8300938965821,4.45329744371314,12.7439726214192,6.71977446034462,2.02706437180852,2.86287358929397,4.92731416318642,2.78089230262168,4.43376709303456,27.6991091425391,5.65757709567412,2.80805549629745,2.27231701118125,1.10697001234502,0.447848911575215,1962-01-01,1.61104552923518,1.37646081932463,0.494963529879391,,,4.32125959082069,4.14861246731811,-0.0840041207679145,-0.771059398140096
1962-04-01,4.63800272518161,4.36868742343109,-0.00095073825327934,-0.652782510564521,-3.08027000895735,,,,,,,,,,,,,,,,,,,1962-04-01,1.59491641827263,1.37173327371427,0.486529925712403,,,4.30974272285562,4.14218821323832,-0.0886993023029599,-0.59593297254014
1962-07-01,4.52586804672359,4.26556220005637,-0.00358041766379809,-0.299788968752409,-2.9586348553762,,,,,,,,,,,,,,,,,,,1962-07-01,1.58499154465994,1.36869807417519,0.478197637649457,,,4.30206911870088,4.13731175568968,-0.091194769996577,-0.459709594902051
1962-10-01,4.08504973993174,3.86721876895821,-0.0214120329797797,-0.1274642585322,-2.40141642080875,,,Average Standard Errors,,,,,,,,,,,,,,,,1962-10-01,1.57947692949476,1.36953354441819,0.470229601999939,,,4.30782416874998,4.14331554063054,-0.0918149251854873,-0.655160509390385
1963-01-01,4.07098926651682,3.85153946730364,-0.0188232148192517,0.0473812123639163,-2.47541314783674,,,y*,r*,g,,,,,,,,,,,,,,1963-01-01,1.58509837228144,1.37130305358262,0.462798037440131,,,4.31502015729626,4.15023666917821,-0.0919682363567612,-0.581440407649325
1963-04-01,4.03569566371087,3.81701761297467,-0.0174592909629353,0.307680371780293,-2.50021753075188,,,1.92941139242821,1.29515185909981,0.409570700921402,,,,,,,,,,,,,,1963-04-01,1.60018460014713,1.37386789177342,0.456179212517049,,,4.32337549380016,4.15886496322506,-0.0927749777661283,-0.362581670838722
1963-07-01,4.34301608713929,4.09540352052701,-0.00574694035862125,0.722600400880651,-2.39528691433185,,,,,,,,,,,,,,,,,,,1963-07-01,1.61064667483208,1.37475848470703,0.449971658001907,,,4.32230249084025,4.15837621530868,-0.0933289967338877,0.229405026143922
1963-10-01,4.08290300098777,3.85153946609151,-0.00690947906118476,1.14142451530222,-2.1294547630051,,,Restrictions on MC draws: a_3 < -0.0025; b_2 > 0.025; a_1 + a_2 < 1,,,,,,,,,,,,,,,,1963-10-01,1.62839235850347,1.37835051625063,0.444661617234621,,,4.33047741870929,4.16650936665022,-0.0937903723875362,0.336291726227955
1964-01-01,4.36843706368794,4.11430296217921,-0.000394607274651517,1.39811231571355,-2.37657539368455,,,Draws excluded:,,1273,Total:,5000,,,,,,,,,,,,1964-01-01,1.64282061366474,1.37977899478758,0.439730458088194,,,4.32808513523434,4.16513313872399,-0.0947212884800029,0.861366032345131
1964-04-01,4.28476362171967,4.04768202212063,-0.0133256475401775,1.63340713949424,-2.17459258128998,,,Percent excluded:,,0.202933205802646,,,,,,,,,,,,,,1964-04-01,1.65756535172471,1.38255178944744,0.435433945879515,,,4.32948181058092,4.16694702920529,-0.0952507187836892,1.06223122194467
1964-07-01,4.38001986724164,4.13984744976565,-0.015936584616272,1.82211321277282,-2.26688428484796,,,Draws excluded because a_r > -0.0025:,,,,0,,,,,,,,,,,,1964-07-01,1.67152216520955,1.38502863212759,0.431457556991968,,,4.32796983771262,4.16518331980272,-0.0948898715006379,1.30753641562126
